s,p,o
https://www.geolexica.org/concepts/47/,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Ontology
https://www.geolexica.org/concepts/47/,http://www.w3.org/2002/07/owl#imports,http://purl.org/dc/terms/
https://www.geolexica.org/concepts/47/,http://www.w3.org/2002/07/owl#imports,https://www.geolexica.org/api/rdf-profile
https://www.geolexica.org/concepts/47/,http://www.w3.org/2002/07/owl#imports,http://www.w3.org/2004/02/skos/core
https://www.geolexica.org/concepts/47/linked-data-api,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://purl.org/dc/terms/MediaTypeOrExtent
https://www.geolexica.org/concepts/47/linked-data-api,http://www.w3.org/2004/02/skos/core#prefLabel,linked-data-api
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,samling av objekt som i något avseende liknar varandra eller ligger tillräckligt nära varandra och som därför behandlas som en enhet
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#finOrigin,https://www.geolexica.org/api/rdf-profile#Finnish
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/concepts/47/classification,preferred
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,gugusan
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#msaOrigin,https://www.geolexica.org/api/rdf-profile#Malay
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,collection of targets potentially heterogeneous (each satisfying a different query criteria) whose locations fall within a small neighbourhood.
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,地点位于一个小区域内的具有潜在的不同类别的目标集合（每个目标都满足不同的查询准则）。
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#araOrigin,https://www.geolexica.org/api/rdf-profile#Arabic
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,簇
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#termID,https://www.geolexica.org/api/concepts/47.ttl
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#rusOrigin,https://www.geolexica.org/api/rdf-profile#Russian
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,кластер
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,cluster
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,cluster
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#engOrigin,https://www.geolexica.org/api/rdf-profile#English
https://www.geolexica.org/concepts/47/closure,http://purl.org/dc/terms/dateAccepted,2007-10-15
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,클러스터
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,그 위치가 소규모 인접군 지역 내에 존재하는 잠재적으로 이질적인(서로 다른 질의 기준을 만족할 수 있는) 대상들의 모음
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#inScheme,https://www.geolexica.org/api/rdf-profile#GeolexicaConceptScheme
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#korOrigin,https://www.geolexica.org/api/rdf-profile#Korean
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,kluster
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,"совокупность целей, потенциально гетерогенных (каждая цель удовлетворяет своему критерию запроса), попадающих в некоторую малую окрестность"
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2000/01/rdf-schema#label,cluster
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,Cluster
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,ensemble de cibles potentiellement hétérogènes (chacun satisfaisant un critère de requête différent) dont la localisation se trouve dans un voisinage proche
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,beberapa benda (spt pulau) yg berada dlm kumpulan dan dikira satu/ sesuatu yg berada dlm kelompok
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,klusteri
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#chnOrigin,https://www.geolexica.org/api/rdf-profile#Chinese
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,"colección de objetivos potencialmente heterogéneos (cada uno satisfaciendo un criterio de consulta diferente), cuyas ubicaciones caen dentro de una pequeña vecindad"
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#gerOrigin,https://www.geolexica.org/api/rdf-profile#German
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#spaOrigin,https://www.geolexica.org/api/rdf-profile#Spanish
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#notation,47
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,"kokoelma mahdollisesti heterogeenisia (eri hakuehdot täyttäviä) kohteita, jotka sijaitsevat lähekkäin"
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#fraOrigin,https://www.geolexica.org/api/rdf-profile#French
https://www.geolexica.org/concepts/47/closure,http://purl.org/dc/terms/source,https://www.iso.org/standard/40601.html
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/api/rdf-profile#sweOrigin,https://www.geolexica.org/api/rdf-profile#Swedish
https://www.geolexica.org/concepts/47/closure,https://www.geolexica.org/concepts/47/status,valid
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,grappe
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#definition,مجموعة أهداف غير متجانسة  ( كلاً منها يحقق معيار استعلام مختلف) تقع مواضيعها ضمن جوار قريب
https://www.geolexica.org/concepts/47/closure,http://www.w3.org/2004/02/skos/core#prefLabel,تجميع
