term_id,URI,rdfs:label,rdf:Resource,rdf:type,dcterms:source,rdf-profile:engOrigin,rdf-profile:termID,skos:notation,skos:definition,skos:inScheme,skos:prefLabel,skos:altLabel,skos:note,rdf-profile:classification,rdf-profile:linked-data-api,rdf-profile:origin
1,https://osgeo.geolexica.org/concepts/1/,3-D Elevation Program,3D_Elevation_Program,skos:Concept,,,,,,,,,,,,
2,https://osgeo.geolexica.org/concepts/2/,3D Information Management Domain Working Group,3D_Information_Management_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
3,https://osgeo.geolexica.org/concepts/3/,3D Portrayal Interoperability Experiment,3D_Portrayal_Interoperability_Experiment,skos:Concept,,,,,,,,,,,,
4,https://osgeo.geolexica.org/concepts/4/,Abstract Specification,Abstract_Specification,skos:Concept,,,,,,,,,,,,
5,https://osgeo.geolexica.org/concepts/5/,ADL Gazetteer Content Standard,ADL_Gazetteer_Content_Standard,skos:Concept,,,,,,,,,,,,
6,https://osgeo.geolexica.org/concepts/6/,ADL Gazetter Protocol,ADL_Gazetter_Protocol,skos:Concept,,,,,,,,,,,,
7,https://osgeo.geolexica.org/concepts/7/,Ambient Geographic Information,Ambient_Geographic_Information,skos:Concept,,,,,,,,,,,,
8,https://osgeo.geolexica.org/concepts/8/,American Geographical Society,American_Geographical_Society,skos:Concept,,,,,,,,,,,,
9,https://osgeo.geolexica.org/concepts/9/,American Geophysical Union,American_Geophysical_Union,skos:Concept,,,,,,,,,,,,
10,https://osgeo.geolexica.org/concepts/10/,American National Standards Institute,American_National_Standards_Institute,skos:Concept,,,,,,,,,,,,
11,https://osgeo.geolexica.org/concepts/11/,American Society for Photogrammetry and Remote Sensing,American_Society_for_Photogrammetry_and_Remote_Sensing,skos:Concept,,,,,,,,,,,,
12,https://osgeo.geolexica.org/concepts/12/,American Standard Code for Information Interchange,American_Standard_Code_for_Information_Interchange,skos:Concept,,,,,,,,,,,,
13,https://osgeo.geolexica.org/concepts/13/,Anti-Grain Geometry,AntiGrain_Geometry,skos:Concept,,,,,,,,,,,,
14,https://osgeo.geolexica.org/concepts/14/,Application Programming Interface,Application_Programming_Interface,skos:Concept,,,,,,,,,,,,
15,https://osgeo.geolexica.org/concepts/15/,Architecture Domain Working Group,Architecture_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
16,https://osgeo.geolexica.org/concepts/16/,"Architecture, Engineering, Construction, Owner and Operator","Architecture,_Engineering,_Construction,_Owner_and_Operator",skos:Concept,,,,,,,,,,,,
17,https://osgeo.geolexica.org/concepts/17/,Association of American Geographers,Association_of_American_Geographers,skos:Concept,,,,,,,,,,,,
18,https://osgeo.geolexica.org/concepts/18/,Association of Geographic Information Laboratories in Europe,Association_of_Geographic_Information_Laboratories_in_Europe,skos:Concept,,,,,,,,,,,,
19,https://osgeo.geolexica.org/concepts/19/,Augmented Reality Markup Language,Augmented_Reality_Markup_Language,skos:Concept,,,,,,,,,,,,
20,https://osgeo.geolexica.org/concepts/20/,Australian and New Zealand Land Information Council,Australian_and_New_Zealand_Land_Information_Council,skos:Concept,,,,,,,,,,,,
21,https://osgeo.geolexica.org/concepts/21/,Australian Urban Research Infrastructure Network,Australian_Urban_Research_Infrastructure_Network,skos:Concept,,,,,,,,,,,,
22,https://osgeo.geolexica.org/concepts/22/,Authentication Interoperability Experiment,Authentication_Interoperability_Experiment,skos:Concept,,,,,,,,,,,,
23,https://osgeo.geolexica.org/concepts/23/,Automated Mapping/Facilities Management,Automated_Mapping_Facilities_Management,skos:Concept,,,,,,,,,,,,
24,https://osgeo.geolexica.org/concepts/24/,band,band,skos:Concept,,,,,,,,,,,,
25,https://osgeo.geolexica.org/concepts/25/,Best Practice,Best_Practice,skos:Concept,,,,,,,,,,,,
26,https://osgeo.geolexica.org/concepts/26/,Binding XML to Java,Binding_XML_to_Java,skos:Concept,,,,,,,,,,,,
27,https://osgeo.geolexica.org/concepts/27/,Biotechnology and Biological Sciences Research Council,Biotechnology_and_Biological_Sciences_Research_Council,skos:Concept,,,,,,,,,,,,
28,https://osgeo.geolexica.org/concepts/28/,Bit Map Picture,Bit_Map_Picture,skos:Concept,,,,,,,,,,,,
