subject,https://isotc211.geolexica.org/api/geolexica#review_decision_notes,https://isotc211.geolexica.org/api/geolexica#review_decision_event,https://isotc211.geolexica.org/api/geolexica#review_status,https://isotc211.geolexica.org/api/geolexica#review_decision,https://isotc211.geolexica.org/api/geolexica#review_date,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://purl.org/dc/terms/modified,http://www.w3.org/2002/07/owl#versionIRI,http://purl.org/dc/terms/title,http://purl.org/dc/terms/conformsTo,http://purl.org/vocab/vann/preferredNamespacePrefix,http://www.w3.org/2002/07/owl#imports,http://www.w3.org/2000/01/rdf-schema#label,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/license
https://isotc211.geolexica.org/api/reviews#Review2256,Publication of document ISO 19115-2:2019(E)@en,Normal ISO processing@en,final@en,accepted@en,2019-01-01^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review177,"Authoritative reference changed from ISO 19110:2005 to ISO 19110:2016, 3.7. Lineage source added as ISO 19101:2002@en",Publication of ISO 19110:2016@en,final@en,accepted@en,2012-01-27^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review2081,Publication of document ISO 19107:2019(E)@en,Normal ISO processing@en,final@en,accepted@en,2019-12-02^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review896,"Authoritative reference changed from ISO 1087-1:2000 to ISO 1087-1:2000, 3.4.19. Lineage source added as ISO 19146:2010(E)@en",Publication of ISO 19146:2018(E)@en,final@en,accepted@en,2018-06-01^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review35,,,pending@en,,2019-07-05^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review3,,,pending@en,,2019-07-05^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review398,"Authoritative reference changed from ISO 19136:2007 to ISO 19136-1:2020(E), 3.1.55. Lineage source added as ISO 19136:2007(E)@en",Publication of ISO 19136-1:2020(E)@en,final@en,accepted@en,2020-01-09^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review81,The entry has been superseded. An entry with a revised definition has been published in ISO 19103:2015@en,Publication of ISO 19103:2015@en,final@en,accepted@en,2009-01-14^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
https://isotc211.geolexica.org/api/reviews#Review145,"Authoritative reference changed from ISO 19111:2007 to ISO 19111:2019(E), 3.1.21. Lineage source added as ISO 19111:2003@en",Publication of ISO 19111:2019(E)@en,final@en,accepted@en,2019-01-31^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica#ConceptReview,,,,,,,,,
,,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,
