subject,https://isotc211.geolexica.org/api/geolexica#entry_status,https://isotc211.geolexica.org/api/geolexica#date_amended,https://isotc211.geolexica.org/api/geolexica#date_accepted,https://isotc211.geolexica.org/api/geolexica#hasSource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://isotc211.geolexica.org/api/geolexica#classification,https://isotc211.geolexica.org/api/geolexica#clause,http://purl.org/dc/terms/license,http://purl.org/dc/terms/conformsTo,http://purl.org/dc/terms/modified,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#versionIRI,http://www.w3.org/2002/07/owl#imports,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/title,http://purl.org/dc/terms/created,http://purl.org/vocab/vann/preferredNamespacePrefix,http://purl.org/dc/terms/description
https://isotc211.geolexica.org/api/info#Info102,retired@en,2019-12-02^^http://www.w3.org/2001/XMLSchema#date,2003-05-01^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#ISO-19107-2003,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,,,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/info#Info1269,valid@en,,2012-12-15^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#ISO-19117-2012,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,preferred@en,4.23,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/info#Info2125,valid@en,,2017-11-15^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#ISO-19160-2017,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,preferred@en,"(E), 3.15",,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/info#Info1563,valid@en,,2014-01-15^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#IHO_Hydro_Dict,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,preferred@en,"S-32, Fifth Edition",,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/info#Info82,valid@en,,2009-04-01^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#ISO-19129-2009,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,preferred@en,,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/info#Info190,superseded@en,2019-12-02^^http://www.w3.org/2001/XMLSchema#date,2003-05-01^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#ISO-19107-2003,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,,,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/info#Info1310,valid@en,,2012-12-01^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/sources#ISO-19152-2012,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,preferred@en,4.1.14,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,
