s,p,o
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2000/01/rdf-schema#label,abstract test suite
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://purl.org/dc/terms/identifier,6
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstract test suite
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakt testsuite
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakt testsvit
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakte Test-Suite
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakti testisarja
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,conjunto de pruebas abstractas
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,suite de tests abstraits
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,комплекс абстрактных тестов
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,مجموعة اختبار تجريدي
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,抽象测试套件
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,抽象試験項目群，ATS
