source,label
https://isotc211.geolexica.org/api/sources#ANSI-T1-523-2001,ANSI T1.523-2001
https://isotc211.geolexica.org/api/sources#ASTM_E2544,ASTM E2544
https://isotc211.geolexica.org/api/sources#Albota-2002,Albota 2002
https://isotc211.geolexica.org/api/sources#Aull_et_al,Aull et al. 2002
https://isotc211.geolexica.org/api/sources#Booch_1999,Booch 1999
https://isotc211.geolexica.org/api/sources#CEOS_WGCV,CEOS WGCV
https://isotc211.geolexica.org/api/sources#Palmer_Dodge_LLP,"Derived from Palmer & Dodge, LLP"
https://isotc211.geolexica.org/api/sources#VIM_Derived,Derived from VIM
https://isotc211.geolexica.org/api/sources#Dictionary_Computing,"Dictionary of Computing, Fourth Edition, Oxford University Press"
https://isotc211.geolexica.org/api/sources#FindLaw,FindLaw
https://isotc211.geolexica.org/api/sources#IAG_IUGG,IAG and IUGG resolutions of 1991 and 2007
https://isotc211.geolexica.org/api/sources#IBM_Rational_System,IBM Rational System Developer
https://isotc211.geolexica.org/api/sources#IEC-60050-845,IEC 60050-845:1987
https://isotc211.geolexica.org/api/sources#IEC-88528-2004,IEC 88528-11:2004
https://isotc211.geolexica.org/api/sources#IERS_Conv_2010,IERS Conventions 2010
https://isotc211.geolexica.org/api/sources#IHO_Hydro_Dict,IHO Hydrographic Dictionary
https://isotc211.geolexica.org/api/sources#ISO-10241-2011,ISO 10241-1:2011
https://isotc211.geolexica.org/api/sources#ISO-10303-2005,ISO 10303-227:2005
https://isotc211.geolexica.org/api/sources#ISO-1087-1-2000,ISO 1087-1:2000
https://isotc211.geolexica.org/api/sources#ISO-12620-1999,ISO 12620:1999
https://isotc211.geolexica.org/api/sources#ISO-12718-2008,ISO 12718:2008
https://isotc211.geolexica.org/api/sources#ISO-14721-2012,ISO 14721:2012
https://isotc211.geolexica.org/api/sources#ISO-19101-1-2014,ISO 19101-1:2014
https://isotc211.geolexica.org/api/sources#ISO-19101-2-2018,ISO 19101-2:2018
https://isotc211.geolexica.org/api/sources#ISO-19101-2002,ISO 19101:2002
https://isotc211.geolexica.org/api/sources#ISO-19103-2015,ISO 19103:2015
https://isotc211.geolexica.org/api/sources#ISO-19104-2016,ISO 19104:2016
https://isotc211.geolexica.org/api/sources#ISO-19105-2000,ISO 19105:2000
https://isotc211.geolexica.org/api/sources#ISO-19106-2004,ISO 19106:2004
