dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
1,osgeo-review:Review1,osgeo:ConceptReview,owl:NamedIndividual,,,,,
2,osgeo-review:Review2,osgeo:ConceptReview,owl:NamedIndividual,,,,,
3,osgeo-review:Review3,osgeo:ConceptReview,owl:NamedIndividual,,,,,
4,osgeo-review:Review4,osgeo:ConceptReview,owl:NamedIndividual,,,,,
5,osgeo-review:Review5,osgeo:ConceptReview,owl:NamedIndividual,,,,,
6,osgeo-review:Review6,osgeo:ConceptReview,owl:NamedIndividual,,,,,
7,osgeo-review:Review7,osgeo:ConceptReview,owl:NamedIndividual,,,,,
8,osgeo-review:Review8,osgeo:ConceptReview,owl:NamedIndividual,,,,,
9,osgeo-review:Review9,osgeo:ConceptReview,owl:NamedIndividual,,,,,
10,osgeo-review:Review10,osgeo:ConceptReview,owl:NamedIndividual,,,,,
11,osgeo-review:Review11,osgeo:ConceptReview,owl:NamedIndividual,,,,,
12,osgeo-review:Review12,osgeo:ConceptReview,owl:NamedIndividual,,,,,
13,osgeo-review:Review13,osgeo:ConceptReview,owl:NamedIndividual,,,,,
14,osgeo-review:Review14,osgeo:ConceptReview,owl:NamedIndividual,,,,,
15,osgeo-review:Review15,osgeo:ConceptReview,owl:NamedIndividual,,,,,
16,osgeo-review:Review16,osgeo:ConceptReview,owl:NamedIndividual,,,,,
17,osgeo-review:Review17,osgeo:ConceptReview,owl:NamedIndividual,,,,,
18,osgeo-review:Review18,osgeo:ConceptReview,owl:NamedIndividual,,,,,
19,osgeo-review:Review19,osgeo:ConceptReview,owl:NamedIndividual,,,,,
20,osgeo-review:Review20,osgeo:ConceptReview,owl:NamedIndividual,,,,,
21,osgeo-review:Review21,osgeo:ConceptReview,owl:NamedIndividual,,,,,
22,osgeo-review:Review22,osgeo:ConceptReview,owl:NamedIndividual,,,,,
23,osgeo-review:Review23,osgeo:ConceptReview,owl:NamedIndividual,,,,,
24,osgeo-review:Review24,osgeo:ConceptReview,owl:NamedIndividual,,,,,
25,osgeo-review:Review25,osgeo:ConceptReview,owl:NamedIndividual,,,,,
26,osgeo-review:Review26,osgeo:ConceptReview,owl:NamedIndividual,,,,,
27,osgeo-review:Review27,osgeo:ConceptReview,owl:NamedIndividual,,,,,
28,osgeo-review:Review28,osgeo:ConceptReview,owl:NamedIndividual,,,,,
29,osgeo-review:Review29,osgeo:ConceptReview,owl:NamedIndividual,,,,,
30,osgeo-review:Review30,osgeo:ConceptReview,owl:NamedIndividual,,,,,
31,osgeo-review:Review31,osgeo:ConceptReview,owl:NamedIndividual,,,,,
32,osgeo-review:Review32,osgeo:ConceptReview,owl:NamedIndividual,,,,,
33,osgeo-review:Review33,osgeo:ConceptReview,owl:NamedIndividual,,,,,
34,osgeo-review:Review34,osgeo:ConceptReview,owl:NamedIndividual,,,,,
35,osgeo-review:Review35,osgeo:ConceptReview,owl:NamedIndividual,,,,,
36,osgeo-review:Review36,osgeo:ConceptReview,owl:NamedIndividual,,,,,
37,osgeo-review:Review37,osgeo:ConceptReview,owl:NamedIndividual,,,,,
38,osgeo-review:Review38,osgeo:ConceptReview,owl:NamedIndividual,,,,,
39,osgeo-review:Review39,osgeo:ConceptReview,owl:NamedIndividual,,,,,
40,osgeo-review:Review40,osgeo:ConceptReview,owl:NamedIndividual,,,,,
41,osgeo-review:Review41,osgeo:ConceptReview,owl:NamedIndividual,,,,,
42,osgeo-review:Review42,osgeo:ConceptReview,owl:NamedIndividual,,,,,
43,osgeo-review:Review43,osgeo:ConceptReview,owl:NamedIndividual,,,,,
44,osgeo-review:Review44,osgeo:ConceptReview,owl:NamedIndividual,,,,,
