subject,https://osgeo.geolexica.org/api/geolexica#termID,https://osgeo.geolexica.org/api/geolexica#review_status,https://osgeo.geolexica.org/api/geolexica#review_decision_notes,https://osgeo.geolexica.org/api/geolexica#review_decision_evemt,https://osgeo.geolexica.org/api/geolexica#review_decision,https://osgeo.geolexica.org/api/geolexica#review_date,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
https://osgeo.geolexica.org/api/osgeo-review/Review169,c169,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review70,c70,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review435,c435,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review224,c224,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review139,c139,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review40,c40,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review405,c405,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review381,c381,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review170,c170,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review296,c296,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review109,c109,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review10,c10,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review3,c3,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review351,c351,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review266,c266,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review140,c140,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review82,c82,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review321,c321,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review236,c236,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review110,c110,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review52,c52,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review417,c417,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review393,c393,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review206,c206,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review22,c22,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review182,c182,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review363,c363,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review278,c278,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review152,c152,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review94,c94,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review333,c333,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review248,c248,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review122,c122,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review64,c64,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review429,c429,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review303,c303,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review218,c218,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review34,c34,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review194,c194,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review375,c375,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review164,c164,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review430,c430,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review345,c345,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review134,c134,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review76,c76,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review400,c400,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review315,c315,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review291,c291,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review104,c104,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review46,c46,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review387,c387,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review261,c261,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review16,c16,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review9,c9,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review176,c176,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review442,c442,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review357,c357,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review231,c231,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review146,c146,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review88,c88,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review412,c412,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review327,c327,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review201,c201,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
