dcterms:identifier,osgeo:termID,rdfs:label,osgeo:abbreviation,skos:prefLabel @en,skos:altLabel @en,rdf:type,rdf:type,osgeo:hasLDAPI,osgeo:jsonURI,osgeo:hasLDAPI,osgeo:jsonldURI,osgeo:hasLDAPI,osgeo:rdfxmlURI,osgeo:hasLDAPI,osgeo:rdfxmlURI2,skos:inScheme,osgeo:hasInfo,osgeo:hasReview,skos:definition @en,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo:hasSource,osgeo:example @en,osgeo:hasOrigin @anyURI,osgeo:hasOrigin,osgeo:classification,skos:notation
1,osgeo-concept:c1,3-D Elevation Program,3DEP,3-D Elevation Program,,skos:Concept,owl:NamedIndividual,ldapi1-json,https://osgeo.geolexica.org/api/ldapi/1.json,ldapi1-jsonld,https://osgeo.geolexica.org/api/ldapi/1.jsonld,ldapi1-rdfxml,https://osgeo.geolexica.org/api/ldapi/1.rdf,ldapi1-skosrdf,https://osgeo.geolexica.org/api/ldapi/1.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info1,osgeo-review:Review1,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,1
2,osgeo-concept:c2,3D Information Management Domain Working Group,3DIM DWG,3D Information Management Domain Working Group,,skos:Concept,owl:NamedIndividual,ldapi2-json,https://osgeo.geolexica.org/api/ldapi/2.json,ldapi2-jsonld,https://osgeo.geolexica.org/api/ldapi/2.jsonld,ldapi2-rdfxml,https://osgeo.geolexica.org/api/ldapi/2.rdf,ldapi2-skosrdf,https://osgeo.geolexica.org/api/ldapi/2.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info2,osgeo-review:Review2,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,2
3,osgeo-concept:c3,3D Portrayal Interoperability Experiment,IE3D Portrayal,3D Portrayal Interoperability Experiment,,skos:Concept,owl:NamedIndividual,ldapi3-json,https://osgeo.geolexica.org/api/ldapi/3.json,ldapi3-jsonld,https://osgeo.geolexica.org/api/ldapi/3.jsonld,ldapi3-rdfxml,https://osgeo.geolexica.org/api/ldapi/3.rdf,ldapi3-skosrdf,https://osgeo.geolexica.org/api/ldapi/3.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info3,osgeo-review:Review3,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,3
4,osgeo-concept:c4,Abstract Specification,AS,Abstract Specification,,skos:Concept,owl:NamedIndividual,ldapi4-json,https://osgeo.geolexica.org/api/ldapi/4.json,ldapi4-jsonld,https://osgeo.geolexica.org/api/ldapi/4.jsonld,ldapi4-rdfxml,https://osgeo.geolexica.org/api/ldapi/4.rdf,ldapi4-skosrdf,https://osgeo.geolexica.org/api/ldapi/4.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info4,osgeo-review:Review4,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,4
5,osgeo-concept:c5,ADL Gazetteer Content Standard,ADL GCS,ADL Gazetteer Content Standard,,skos:Concept,owl:NamedIndividual,ldapi5-json,https://osgeo.geolexica.org/api/ldapi/5.json,ldapi5-jsonld,https://osgeo.geolexica.org/api/ldapi/5.jsonld,ldapi5-rdfxml,https://osgeo.geolexica.org/api/ldapi/5.rdf,ldapi5-skosrdf,https://osgeo.geolexica.org/api/ldapi/5.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info5,osgeo-review:Review5,de facto set of rules used to define the relation between a toponym and its coordinates,Note to entry: Other attributes such as the region where the toponym is located or the defined datum can also be supplied.,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,5
6,osgeo-concept:c6,ADL Gazetter Protocol,,ADL Gazetter Protocol,,skos:Concept,owl:NamedIndividual,ldapi6-json,https://osgeo.geolexica.org/api/ldapi/6.json,ldapi6-jsonld,https://osgeo.geolexica.org/api/ldapi/6.jsonld,ldapi6-rdfxml,https://osgeo.geolexica.org/api/ldapi/6.rdf,ldapi6-skosrdf,https://osgeo.geolexica.org/api/ldapi/6.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info6,osgeo-review:Review6,specification for communication between ADL gazetteer clients and servers,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,6
7,osgeo-concept:c7,Ambient Geographic Information,AGI,Ambient Geographic Information,,skos:Concept,owl:NamedIndividual,ldapi7-json,https://osgeo.geolexica.org/api/ldapi/7.json,ldapi7-jsonld,https://osgeo.geolexica.org/api/ldapi/7.jsonld,ldapi7-rdfxml,https://osgeo.geolexica.org/api/ldapi/7.rdf,ldapi7-skosrdf,https://osgeo.geolexica.org/api/ldapi/7.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info7,osgeo-review:Review7,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,7
8,osgeo-concept:c8,American Geographical Society,AGS,American Geographical Society,,skos:Concept,owl:NamedIndividual,ldapi8-json,https://osgeo.geolexica.org/api/ldapi/8.json,ldapi8-jsonld,https://osgeo.geolexica.org/api/ldapi/8.jsonld,ldapi8-rdfxml,https://osgeo.geolexica.org/api/ldapi/8.rdf,ldapi8-skosrdf,https://osgeo.geolexica.org/api/ldapi/8.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info8,osgeo-review:Review8,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,8
9,osgeo-concept:c9,American Geophysical Union,AGU,American Geophysical Union,,skos:Concept,owl:NamedIndividual,ldapi9-json,https://osgeo.geolexica.org/api/ldapi/9.json,ldapi9-jsonld,https://osgeo.geolexica.org/api/ldapi/9.jsonld,ldapi9-rdfxml,https://osgeo.geolexica.org/api/ldapi/9.rdf,ldapi9-skosrdf,https://osgeo.geolexica.org/api/ldapi/9.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info9,osgeo-review:Review9,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,9
10,osgeo-concept:c10,American National Standards Institute,ANSI,American National Standards Institute,,skos:Concept,owl:NamedIndividual,ldapi10-json,https://osgeo.geolexica.org/api/ldapi/10.json,ldapi10-jsonld,https://osgeo.geolexica.org/api/ldapi/10.jsonld,ldapi10-rdfxml,https://osgeo.geolexica.org/api/ldapi/10.rdf,ldapi10-skosrdf,https://osgeo.geolexica.org/api/ldapi/10.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info10,osgeo-review:Review10,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,10
