s,p,o
https://osgeo.geolexica.org/concepts/1/,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://purl.org/dc/dcmitype/Dataset
https://osgeo.geolexica.org/concepts/1/,http://www.w3.org/2002/07/owl#imports,https://osgeo.geolexica.org/geolexica
https://osgeo.geolexica.org/concepts/1/,http://purl.org/dc/terms/conformsTo,https://osgeo.geolexica.org/geolexica/v1.0/
https://osgeo.geolexica.org/concepts/1/,http://purl.org/dc/terms/created,2022-01-20
https://osgeo.geolexica.org/concepts/1/,http://purl.org/dc/terms/modified,2022-03-25
https://osgeo.geolexica.org/concepts/1/,http://purl.org/dc/terms/title,3-D Elevation Program
https://osgeo.geolexica.org/concepts/1/,http://purl.org/dc/terms/license,Copyright 2022 OSGeo
https://osgeo.geolexica.org/concepts/1/,http://purl.org/vocab/vann/preferredNamespaceUri,https://osgeo.geolexica.org/concepts/1/
https://osgeo.geolexica.org/concepts/1/,http://purl.org/vocab/vann/preferredNamespacePrefix,osgeo-concept-1
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasOrigin,https://osgeo.geolexica.org/api/osgeo-lang#engRegistry
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/2004/02/skos/core#inScheme,https://osgeo.geolexica.org/geolexica#OSGeoConceptScheme
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasInfo,https://osgeo.geolexica.org/osgeo-info/Info1
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasLDAPI,https://osgeo.geolexica.org/osgeo-ldapi/ldapi1-json
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasLDAPI,https://osgeo.geolexica.org/osgeo-ldapi/ldapi1-jsonld
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasLDAPI,https://osgeo.geolexica.org/osgeo-ldapi/ldapi1-rdfxml
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasLDAPI,https://osgeo.geolexica.org/osgeo-ldapi/ldapi1-skosrdf
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/api/osgeo-lang#eng-note,https://osgeo.geolexica.org/osgeo-notes/DefnTransUnavail
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasReview,https://osgeo.geolexica.org/osgeo-reviews/Review1
https://osgeo.geolexica.org/concepts/1/c1,http://purl.org/dc/terms/identifier,1
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/2004/02/skos/core#notation,1
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/2004/02/skos/core#prefLabel,3-D Elevation Program
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/2004/02/skos/core#definition,Definition not provided in this language.
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#classification,preferred
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#jsonURI,https://osgeo.geolexica.org/api/ldapi/1.json
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#jsonldURI,https://osgeo.geolexica.org/api/ldapi/1.jsonld
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#rdfxmlURI,https://osgeo.geolexica.org/api/ldapi/1.rdf
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#skosrdfURI,https://osgeo.geolexica.org/api/ldapi/1.ttl
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasOrigin,https://osgeo.geolexica.org/registers/#language-eng
https://osgeo.geolexica.org/concepts/1/c1,http://www.w3.org/2000/01/rdf-schema#label,3-D Elevation Program
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#abbreviation,3DEP
https://osgeo.geolexica.org/concepts/1/c1,https://osgeo.geolexica.org/geolexica#hasSource,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/
