source,label,uri
https://osgeo.geolexica.org/api/osgeo-source/ISO-19111-2019,ISO 19111:2019,https://www.iso.org/standard/74039.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19115-1-2014,ISO 19115-1:2014,https://www.iso.org/standard/53798.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19115-2-2019,ISO 19115-2:2019,https://www.iso.org/standard/67039.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19123-2005,ISO 19123:2005,https://www.iso.org/standard/40121.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19128-2005,ISO 19128:2005,https://www.iso.org/standard/32546.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19130-1-2018,ISO 19130-1-2018,https://www.iso.org/standard/66847.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19133-2005,ISO 19133:2005,https://www.iso.org/standard/32551.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19156-2011,ISO 19156:2011,https://www.iso.org/standard/32574.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19129-2009,ISO/TS 19129:2009,https://www.iso.org/standard/43041.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19136-2007,ISO 19136:2007,https://www.iso.org/standard/32554.html
https://osgeo.geolexica.org/api/osgeo-source/ISO-19155-2012,ISO 19155:2012,https://www.iso.org/standard/32573.html
https://osgeo.geolexica.org/api/osgeo-source/skos-ref,W3C SKOS Reference,https://www.w3.org/TR/skos-reference/
https://osgeo.geolexica.org/api/osgeo-source/osgeo-ref,Open Source Geospatial Foundation,https://www.osgeo.org/
https://osgeo.geolexica.org/api/osgeo-source/geonet-ref,GeoNetwork Open Source Glossary,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html
https://osgeo.geolexica.org/api/osgeo-source/gvsig-ref,gvSIG 1.0 User Guide Version 1,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf
https://osgeo.geolexica.org/api/osgeo-source/mapserver-ref,MapServer Glossary,https://mapserver.org/glossary.html
https://osgeo.geolexica.org/api/osgeo-source/osgeo-starter-dict,OSGeo Starter Dictionary,https://wiki.osgeo.org/wiki/Starter_Dictionary
https://osgeo.geolexica.org/api/osgeo-source/ogc-abbrev-acro,Open Geospatial Consortium Abbreviations and Acronyms,https://www.ogc.org/acronyms
https://osgeo.geolexica.org/api/osgeo-source/osgeo-newsletter,GeoForAll Newsletter Archive,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/
https://osgeo.geolexica.org/api/osgeo-source/ucar-netcdf,Network Common Data Form (NetCDF),https://www.unidata.ucar.edu/software/netcdf/
