label,id,term
abbreviation,2,https://isotc211.geolexica.org/api/concepts#abbrev
abstract test case,3,https://isotc211.geolexica.org/api/concepts#abstract_test_case
abstract test method,4,https://isotc211.geolexica.org/api/concepts#abstract_test_method
abstract test module,5,https://isotc211.geolexica.org/api/concepts#abstract_test_module
abstract test suite,6,https://isotc211.geolexica.org/api/concepts#abstract_test_suite
abstract test suite,6,https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite
acceptance testing (user),7,https://isotc211.geolexica.org/api/concepts#acceptance_testing
accuracy,8,https://isotc211.geolexica.org/api/concepts#accuracy
actor (UML),9,https://isotc211.geolexica.org/api/concepts#actor
admitted term,10,https://isotc211.geolexica.org/api/concepts#admitted_term
aggregation (UML),11,https://isotc211.geolexica.org/api/concepts#aggregation
altitude,12,https://isotc211.geolexica.org/api/concepts#altitude
annotation,13,https://isotc211.geolexica.org/api/concepts#annotation
application,14,https://isotc211.geolexica.org/api/concepts#application
application schema,15,https://isotc211.geolexica.org/api/concepts#application_schema
association (UML);,17,https://isotc211.geolexica.org/api/concepts#association
attitude,18,https://isotc211.geolexica.org/api/concepts#attitude
attribute,19,https://isotc211.geolexica.org/api/concepts#attribute
attribute (UML),20,https://isotc211.geolexica.org/api/concepts#attributeUML
bag,24,https://isotc211.geolexica.org/api/concepts#bag
base standard,26,https://isotc211.geolexica.org/api/concepts#base_standard
basic test,27,https://isotc211.geolexica.org/api/concepts#basic_test
behaviour (UML),28,https://isotc211.geolexica.org/api/concepts#behaviour
boundary,29,https://isotc211.geolexica.org/api/concepts#boundary
buffer,30,https://isotc211.geolexica.org/api/concepts#buffer
calendar,31,https://isotc211.geolexica.org/api/concepts#calendar
calendar era,32,https://isotc211.geolexica.org/api/concepts#calendar_era
candidate route,34,https://isotc211.geolexica.org/api/concepts#candidate_route
capability test,35,https://isotc211.geolexica.org/api/concepts#capability_test
cardinality (UML),36,https://isotc211.geolexica.org/api/concepts#cardinalityUML
Cartesian coordinate system,37,https://isotc211.geolexica.org/api/concepts#cartesian_coordinate_system
character,39,https://isotc211.geolexica.org/api/concepts#character
circular sequence,41,https://isotc211.geolexica.org/api/concepts#circular_sequence
class (UML),43,https://isotc211.geolexica.org/api/concepts#classUML
classifier (UML),44,https://isotc211.geolexica.org/api/concepts#classifierUML
client,45,https://isotc211.geolexica.org/api/concepts#client
closure,46,https://isotc211.geolexica.org/api/concepts#closure
cluster,47,https://isotc211.geolexica.org/api/concepts#cluster2
coboundary,48,https://isotc211.geolexica.org/api/concepts#coboundary
code,49,https://isotc211.geolexica.org/api/concepts#code
codelist,50,https://isotc211.geolexica.org/api/concepts#codelist
codespace,51,https://isotc211.geolexica.org/api/concepts#codespace
complex feature,52,https://isotc211.geolexica.org/api/concepts#complex_feature
composite curve,55,https://isotc211.geolexica.org/api/concepts#composite_curve
composite solid,56,https://isotc211.geolexica.org/api/concepts#composite_solid
composite surface,57,https://isotc211.geolexica.org/api/concepts#composite_surface
computational geometry,61,https://isotc211.geolexica.org/api/concepts#computational_geometry
computational topology,62,https://isotc211.geolexica.org/api/concepts#computational_topology
computational viewpoint,63,https://isotc211.geolexica.org/api/concepts#computational_viewpoint
concept,64,https://isotc211.geolexica.org/api/concepts#concept
concept system,66,https://isotc211.geolexica.org/api/concepts#concept_system
conceptual formalism,67,https://isotc211.geolexica.org/api/concepts#conceptual_formalism
conceptual model,68,https://isotc211.geolexica.org/api/concepts#conceptual_model
conceptual schema,69,https://isotc211.geolexica.org/api/concepts#conceptual_schema
conceptual schema language,70,https://isotc211.geolexica.org/api/concepts#conceptual_schema_language
conformance,71,https://isotc211.geolexica.org/api/concepts#conformance
conformance assessment process,72,https://isotc211.geolexica.org/api/concepts#conformance_assess_process
