s,p,o
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2000/01/rdf-schema#label,abstract test suite
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasInfo,https://osgeo.geolexica.org/api/concepts/Info6
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#ara
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#dan
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#deu
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#eng
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#fin
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#fra
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#jpn
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#kor
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#rus
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#spa
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#swe
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#zho
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#hasReview,https://osgeo.geolexica.org/api/concepts/Review6
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://purl.org/dc/terms/identifier,6
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstract test suite
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakt testsuite
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakt testsvit
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakte Test-Suite
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,abstrakti testisarja
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,conjunto de pruebas abstractas
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,suite de tests abstraits
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,комплекс абстрактных тестов
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,مجموعة اختبار تجريدي
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,抽象测试套件
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,抽象試験項目群，ATS
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#prefLabel,추상 시험 스위트
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#inScheme,https://osgeo.geolexica.org/api/geolexica#GeolexicaConceptScheme
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#notation,6
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,abstract test module specifying all the requirements to be satisfied for conformance
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,"abstrakt testmodul, som specificerer alle krav, der skal opfyldes for, at der er overensstemmelse"
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,"abstrakti testausmoduuli, jossa on määritelty kaikki laatuvaatimustason täyttymiseen edellytettävät vaatimukset"
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,module de test abstrait spécifiant toutes les exigences de satisfaction par conformité
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,módulo de pruebas genéricas que especifica todos los requisitos que deben ser satisfechos para la conformidad
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,samling abstrakta testfall som tillsammans kan avgöra om överensstämmelse råder med alla uppställda krav
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,"тестовый модуль, определяющий все требования, которые должны быть удовлетворены для заключения о соответствии"
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,نموذج اختبار تجريدي يحدد جميع المتطلبات اللازم تحقيقها للتطابق
