s,o
https://isotc211.geolexica.org/api/concepts#abstract_test_case,abstract test case
https://isotc211.geolexica.org/api/concepts#abstract_test_method,abstract test method
https://isotc211.geolexica.org/api/concepts#abstract_test_module,abstract test module
https://isotc211.geolexica.org/api/concepts#abstract_test_suite,abstract test suite
https://isotc211.geolexica.org/api/concepts#acceptance_testing,acceptance testing (user)
https://isotc211.geolexica.org/api/concepts#accuracy,accuracy
https://isotc211.geolexica.org/api/concepts#actor,actor (UML)
https://isotc211.geolexica.org/api/concepts#admitted_term,admitted term
https://isotc211.geolexica.org/api/concepts#aggregation,aggregation (UML)
https://isotc211.geolexica.org/api/concepts#altitude,altitude
https://isotc211.geolexica.org/api/concepts#annotation,annotation
https://isotc211.geolexica.org/api/concepts#application,application
https://isotc211.geolexica.org/api/concepts#application_schema,application schema
https://isotc211.geolexica.org/api/concepts#association,association (UML);
https://isotc211.geolexica.org/api/concepts#attitude,attitude
https://isotc211.geolexica.org/api/concepts#attribute,attribute
https://isotc211.geolexica.org/api/concepts#bag,bag
https://isotc211.geolexica.org/api/concepts#base_standard,base standard
https://isotc211.geolexica.org/api/concepts#basic_test,basic test
https://isotc211.geolexica.org/api/concepts#behaviour,behaviour (UML)
https://isotc211.geolexica.org/api/concepts#boundary,boundary
https://isotc211.geolexica.org/api/concepts#buffer,buffer
https://isotc211.geolexica.org/api/concepts#calendar,calendar
https://isotc211.geolexica.org/api/concepts#Coordinated_Universal_Time,Coordinated Universal Time (UTC)
https://isotc211.geolexica.org/api/concepts#Delaunay_triangulation,Delaunay triangulation
https://isotc211.geolexica.org/api/concepts#Dijkstra_graph,Dijkstra graph
https://isotc211.geolexica.org/api/concepts#Gregorian_calendar,Gregorian calendar
https://isotc211.geolexica.org/api/concepts#Implemen_eXtra_Info_Testing,Implementation eXtra Information for Testing
https://isotc211.geolexica.org/api/concepts#Implement_Conform_Statement,Implementation Conformance Statement
https://isotc211.geolexica.org/api/concepts#Julian_date,Julian date
https://isotc211.geolexica.org/api/concepts#Julian_day_number,Julian day number
https://isotc211.geolexica.org/api/concepts#abbrev,abbreviation
https://isotc211.geolexica.org/api/concepts#attributeUML,attribute (UML)
https://isotc211.geolexica.org/api/concepts#calendar_era,calendar era
https://isotc211.geolexica.org/api/concepts#candidate_route,candidate route
https://isotc211.geolexica.org/api/concepts#capability_test,capability test
https://isotc211.geolexica.org/api/concepts#cardinalityUML,cardinality (UML)
https://isotc211.geolexica.org/api/concepts#cartesian_coordinate_system,Cartesian coordinate system
https://isotc211.geolexica.org/api/concepts#character,character
https://isotc211.geolexica.org/api/concepts#circular_sequence,circular sequence
https://isotc211.geolexica.org/api/concepts#classUML,class (UML)
