concept,prefLabel,label
https://isotc211.geolexica.org/api/concepts#abstract_test_case,prueba abstracta,abstract test case
https://isotc211.geolexica.org/api/concepts#abstract_test_method,método de prueba abstracta,abstract test method
https://isotc211.geolexica.org/api/concepts#abstract_test_module,módulo de pruebas abstractas,abstract test module
https://isotc211.geolexica.org/api/concepts#abstract_test_suite,conjunto de pruebas abstractas,abstract test suite
https://isotc211.geolexica.org/api/concepts#acceptance_testing,prueba de aceptación (usuario),acceptance testing (user)
https://isotc211.geolexica.org/api/concepts#accuracy,exactitud,accuracy
https://isotc211.geolexica.org/api/concepts#actor,actor (UML),actor (UML)
https://isotc211.geolexica.org/api/concepts#admitted_term,término admitido,admitted term
https://isotc211.geolexica.org/api/concepts#aggregation,agregación (UML),aggregation (UML)
https://isotc211.geolexica.org/api/concepts#altitude,altitud,altitude
https://isotc211.geolexica.org/api/concepts#annotation,anotación,annotation
https://isotc211.geolexica.org/api/concepts#application,aplicación,application
https://isotc211.geolexica.org/api/concepts#application_schema,esquema de aplicación,application schema
https://isotc211.geolexica.org/api/concepts#association,asociación (UML),association (UML);
https://isotc211.geolexica.org/api/concepts#attitude,actitud,attitude
https://isotc211.geolexica.org/api/concepts#attribute,atributo,attribute
https://isotc211.geolexica.org/api/concepts#bag,bolsa,bag
https://isotc211.geolexica.org/api/concepts#base_standard,norma base,base standard
https://isotc211.geolexica.org/api/concepts#basic_test,prueba básica,basic test
https://isotc211.geolexica.org/api/concepts#behaviour,comportamiento (UML),behaviour (UML)
https://isotc211.geolexica.org/api/concepts#boundary,frontera,boundary
https://isotc211.geolexica.org/api/concepts#buffer,buffer,buffer
https://isotc211.geolexica.org/api/concepts#calendar,calendario,calendar
https://isotc211.geolexica.org/api/concepts#Coordinated_Universal_Time,Tiempo Universal Coordinado (UTC),Coordinated Universal Time (UTC)
https://isotc211.geolexica.org/api/concepts#Delaunay_triangulation,triangulación de Delaunay,Delaunay triangulation
https://isotc211.geolexica.org/api/concepts#Dijkstra_graph,grafo de Dijkstra,Dijkstra graph
https://isotc211.geolexica.org/api/concepts#Gregorian_calendar,calendario gregoriano,Gregorian calendar
https://isotc211.geolexica.org/api/concepts#Implemen_eXtra_Info_Testing,información extra de la implementación para pruebas,Implementation eXtra Information for Testing
https://isotc211.geolexica.org/api/concepts#Implement_Conform_Statement,declaración de conformidad de la implementación,Implementation Conformance Statement
https://isotc211.geolexica.org/api/concepts#Julian_date,fecha juliana,Julian date
https://isotc211.geolexica.org/api/concepts#Julian_day_number,número del día juliano,Julian day number
https://isotc211.geolexica.org/api/concepts#abbrev,abreviatura,abbreviation
https://isotc211.geolexica.org/api/concepts#attributeUML,atributo (UML),attribute (UML)
https://isotc211.geolexica.org/api/concepts#calendar_era,era de calendario,calendar era
https://isotc211.geolexica.org/api/concepts#candidate_route,ruta candidata,candidate route
https://isotc211.geolexica.org/api/concepts#capability_test,prueba de capacidad,capability test
https://isotc211.geolexica.org/api/concepts#cardinalityUML,cardinalidad(UML),cardinality (UML)
https://isotc211.geolexica.org/api/concepts#cartesian_coordinate_system,sistema de coordenadas cartesianas,Cartesian coordinate system
https://isotc211.geolexica.org/api/concepts#character,carácter,character
https://isotc211.geolexica.org/api/concepts#circular_sequence,secuencia circular,circular sequence
https://isotc211.geolexica.org/api/concepts#classUML,clase (UML),class (UML)
https://isotc211.geolexica.org/api/concepts#classifierUML,clasificador (UML);,classifier (UML)
https://isotc211.geolexica.org/api/concepts#client,cliente,client
https://isotc211.geolexica.org/api/concepts#closure,cerramiento,closure
https://isotc211.geolexica.org/api/concepts#cluster2,cluster,cluster
https://isotc211.geolexica.org/api/concepts#coboundary,cofrontera,coboundary
https://isotc211.geolexica.org/api/concepts#code,código,code
https://isotc211.geolexica.org/api/concepts#codelist,lista de códigos (codelist),codelist
https://isotc211.geolexica.org/api/concepts#codespace,espacio de códigos (codespace),codespace
https://isotc211.geolexica.org/api/concepts#complex_feature,objeto geográfico complejo,complex feature
https://isotc211.geolexica.org/api/concepts#composite_curve,curva compuesta,composite curve
https://isotc211.geolexica.org/api/concepts#composite_solid,sólido compuesto,composite solid
https://isotc211.geolexica.org/api/concepts#composite_surface,superficie compuesta,composite surface
https://isotc211.geolexica.org/api/concepts#computational_geometry,geometría computacional,computational geometry
https://isotc211.geolexica.org/api/concepts#computational_topology,topología computacional,computational topology
https://isotc211.geolexica.org/api/concepts#computational_viewpoint,punto de vista computacional,computational viewpoint
https://isotc211.geolexica.org/api/concepts#concept,concepto,concept
https://isotc211.geolexica.org/api/concepts#concept_system,sistema de conceptos,concept system
https://isotc211.geolexica.org/api/concepts#conceptual_formalism,formalismo conceptual,conceptual formalism
https://isotc211.geolexica.org/api/concepts#conceptual_model,modelo conceptual,conceptual model
https://isotc211.geolexica.org/api/concepts#conceptual_schema,esquema conceptual,conceptual schema
https://isotc211.geolexica.org/api/concepts#conceptual_schema_language,lenguaje de esquemas conceptuales,conceptual schema language
https://isotc211.geolexica.org/api/concepts#conformance,conformidad,conformance
https://isotc211.geolexica.org/api/concepts#conformance_assess_process,proceso de evaluación de la conformidad,conformance assessment process
https://isotc211.geolexica.org/api/concepts#conformance_clause,claúsula de conformidad,conformance clause
https://isotc211.geolexica.org/api/concepts#conformance_quality_level,nivel de calidad de conformidad,conformance quality level
https://isotc211.geolexica.org/api/concepts#conformance_test_report,informe de prueba de conformidad,conformance test report
https://isotc211.geolexica.org/api/concepts#conformance_testing,prueba de conformidad,conformance testing
https://isotc211.geolexica.org/api/concepts#conforming_implementation,implementación conforme,conforming implementation
https://isotc211.geolexica.org/api/concepts#connected,conectado,connected
https://isotc211.geolexica.org/api/concepts#connected_node,nodo conectado,connected node
https://isotc211.geolexica.org/api/concepts#constraintUML,restricción (UML);,constraint (UML)
https://isotc211.geolexica.org/api/concepts#content_model,modelo de contenido,content model
https://isotc211.geolexica.org/api/concepts#continuous_coverage,cobertura continua,continuous coverage
https://isotc211.geolexica.org/api/concepts#control_body,organismo de control,control body
https://isotc211.geolexica.org/api/concepts#conversion_rule,regla de conversión,conversion rule
https://isotc211.geolexica.org/api/concepts#convex_hull,cierre convexo,convex hull
https://isotc211.geolexica.org/api/concepts#convex_set,conjunto convexo,convex set
https://isotc211.geolexica.org/api/concepts#coordinate,coordenada,coordinate
https://isotc211.geolexica.org/api/concepts#coordinate_dimension,dimensión de coordenadas,coordinate dimension
https://isotc211.geolexica.org/api/concepts#coordinate_operation,operación de coordenadas,coordinate operation
https://isotc211.geolexica.org/api/concepts#coordinate_system,sistema de coordenadas,coordinate system
https://isotc211.geolexica.org/api/concepts#cost_function,función de costo,cost function
https://isotc211.geolexica.org/api/concepts#coverage,cobertura,coverage
https://isotc211.geolexica.org/api/concepts#coverage_geometry,geometría de la cobertura,coverage geometry
https://isotc211.geolexica.org/api/concepts#curve,curva,curve
https://isotc211.geolexica.org/api/concepts#curve_segment,segmento de curva,curve segment
https://isotc211.geolexica.org/api/concepts#cycle_geometry,ciclo (geometría),cycle (geometry)
https://isotc211.geolexica.org/api/concepts#data,datos,data
https://isotc211.geolexica.org/api/concepts#data_element,elemento de datos,data element
https://isotc211.geolexica.org/api/concepts#data_interchange,intercambio de datos,data interchange
https://isotc211.geolexica.org/api/concepts#data_level,nivel de datos,data level
https://isotc211.geolexica.org/api/concepts#data_product,producto de datos,data product
https://isotc211.geolexica.org/api/concepts#data_product_specification,especificaciones de producto de datos,data product specification
https://isotc211.geolexica.org/api/concepts#data_quality_date,fecha de la calidad de datos,data quality date
https://isotc211.geolexica.org/api/concepts#data_quality_element,elemento de la calidad de datos,data quality element
https://isotc211.geolexica.org/api/concepts#data_quality_eval_procedure,procedimiento de evaluación de la calidad de datos,data quality evaluation procedure
https://isotc211.geolexica.org/api/concepts#data_quality_measure,medida de la calidad de datos,data quality measure
https://isotc211.geolexica.org/api/concepts#data_quality_over_element,elemento general de la calidad de datos,data quality overview element
https://isotc211.geolexica.org/api/concepts#data_quality_result,resultado de la calidad de datos,data quality result
https://isotc211.geolexica.org/api/concepts#data_quality_scope,ámbito de la calidad de datos,data quality scope
https://isotc211.geolexica.org/api/concepts#data_quality_subelement,subelemento de la calidad de datos,data quality subelement
https://isotc211.geolexica.org/api/concepts#data_quality_value_type,tipo de valor de la calidad de datos,data quality value type
https://isotc211.geolexica.org/api/concepts#data_quality_value_unit,unidad del valor de la calidad de datos,data quality value unit
https://isotc211.geolexica.org/api/concepts#data_transfer,transferencia de datos,data transfer
https://isotc211.geolexica.org/api/concepts#data_type,tipo de datos,data type
https://isotc211.geolexica.org/api/concepts#dataset,conjunto de datos,dataset
https://isotc211.geolexica.org/api/concepts#dataset_series,serie de conjuntos de datos,dataset series
https://isotc211.geolexica.org/api/concepts#day,día,day
https://isotc211.geolexica.org/api/concepts#definition,definición,definition
https://isotc211.geolexica.org/api/concepts#dependencyUML,dependencia (UML),dependency (UML)
https://isotc211.geolexica.org/api/concepts#deprecated_term,término desaprobado,deprecated term
https://isotc211.geolexica.org/api/concepts#direct_eval_method,método directo de evaluación,direct evaluation method
https://isotc211.geolexica.org/api/concepts#direct_position,posición directa,direct position
https://isotc211.geolexica.org/api/concepts#directed_edge,arco orientado,directed edge
https://isotc211.geolexica.org/api/concepts#directed_face,cara orientada,directed face
https://isotc211.geolexica.org/api/concepts#directed_node,nodo orientado,directed node
https://isotc211.geolexica.org/api/concepts#directed_solid,sólido orientado,directed solid
https://isotc211.geolexica.org/api/concepts#directed_topo_object,objeto topológico orientado,directed topological object
https://isotc211.geolexica.org/api/concepts#discrete_coverage,cobertura discreta,discrete coverage
https://isotc211.geolexica.org/api/concepts#distribution_transparency,transparencia de la distribución,distribution transparency
https://isotc211.geolexica.org/api/concepts#domain,dominio,domain
https://isotc211.geolexica.org/api/concepts#easting,este,easting
https://isotc211.geolexica.org/api/concepts#edge,arco,edge
https://isotc211.geolexica.org/api/concepts#edge_node_graph,grafo arco-nodo,edge-node graph
https://isotc211.geolexica.org/api/concepts#elementXML,elemento (XML),element (XML)
https://isotc211.geolexica.org/api/concepts#ellipsoid,elipsoide,ellipsoid
https://isotc211.geolexica.org/api/concepts#ellipsoid_height,altura elipsoidal,ellipsoid height
https://isotc211.geolexica.org/api/concepts#encoding,codificación,encoding
https://isotc211.geolexica.org/api/concepts#encoding_rule,reglas de codificación,encoding rule
https://isotc211.geolexica.org/api/concepts#encoding_service,servicio de codificación,encoding service
https://isotc211.geolexica.org/api/concepts#end_node,nodo final,end node
https://isotc211.geolexica.org/api/concepts#end_point,punto final,end point
https://isotc211.geolexica.org/api/concepts#engineering_datum,datum de ingeniería,engineering datum
https://isotc211.geolexica.org/api/concepts#engineering_viewpoint,punto de vista de la ingeniería,engineering viewpoint
