source,label,uri
https://isotc211.geolexica.org/api/sources#Dictionary_Computing,"Dictionary of Computing, Fourth Edition, Oxford University Press",
https://isotc211.geolexica.org/api/sources#ISO-10746-3-1996,ISO/IEC 10746-3:1996,https://www.iso.org/standard/20697.html
https://isotc211.geolexica.org/api/sources#ISO-10746-3-2009,ISO/IEC 10746-3:2009,https://www.iso.org/standard/55724.html
https://isotc211.geolexica.org/api/sources#ISO-1087-1-2000,ISO 1087-1:2000,https://www.iso.org/standard/20057.html
https://isotc211.geolexica.org/api/sources#ISO-19101-1-2014,ISO 19101-1:2014,https://www.iso.org/standard/59164.html
https://isotc211.geolexica.org/api/sources#ISO-19101-2002,ISO 19101:2002,https://www.iso.org/standard/26002.html
https://isotc211.geolexica.org/api/sources#ISO-19103-2015,ISO 19103:2015,https://www.iso.org/standard/56734.html
https://isotc211.geolexica.org/api/sources#ISO-19105-2000,ISO 19105:2000,https://www.iso.org/standard/26010.html
https://isotc211.geolexica.org/api/sources#ISO-19106-2004,ISO 19106:2004,https://www.iso.org/standard/37805.html
https://isotc211.geolexica.org/api/sources#ISO-19107-2003,ISO 19107:2003,https://www.iso.org/standard/26012.html
https://isotc211.geolexica.org/api/sources#ISO-19107-2019,ISO 19107:2019,https://www.iso.org/standard/66175.html
https://isotc211.geolexica.org/api/sources#ISO-19108-2002,ISO 19108:2002,https://www.iso.org/standard/26013.html
https://isotc211.geolexica.org/api/sources#ISO-19109-2015,ISO 19109:2015,https://www.iso.org/standard/59193.html
https://isotc211.geolexica.org/api/sources#ISO-19110-2016,ISO 19110:2016,https://www.iso.org/standard/57303.html
https://isotc211.geolexica.org/api/sources#ISO-19111-2007,ISO 19111:2007,https://www.iso.org/standard/41126.html
https://isotc211.geolexica.org/api/sources#ISO-19111-2019,ISO 19111:2019,https://www.iso.org/standard/74039.html
https://isotc211.geolexica.org/api/sources#ISO-19112-2003,ISO 19112:2003,https://www.iso.org/standard/26017.html
https://isotc211.geolexica.org/api/sources#ISO-19112-2019,ISO 19112:2019,https://www.iso.org/standard/70742.html
https://isotc211.geolexica.org/api/sources#ISO-19113-2002,ISO 19113:2002,https://www.iso.org/standard/26018.html
https://isotc211.geolexica.org/api/sources#ISO-19114-2003,ISO 19114:2003,https://www.iso.org/standard/26019.html
https://isotc211.geolexica.org/api/sources#ISO-19115-1-2014,ISO 19115-1:2014,https://www.iso.org/standard/53798.html
https://isotc211.geolexica.org/api/sources#ISO-19115-2-2019,ISO 19115-2:2019,https://www.iso.org/standard/67039.html
https://isotc211.geolexica.org/api/sources#ISO-19115-2003,ISO 19115:2003,https://www.iso.org/standard/26020.html
https://isotc211.geolexica.org/api/sources#ISO-19116-2004,ISO 19116:2004,https://www.iso.org/standard/37805.html
https://isotc211.geolexica.org/api/sources#ISO-19116-2019,ISO 19116:2019,https://www.iso.org/standard/70882.html
https://isotc211.geolexica.org/api/sources#ISO-19117-2005,ISO 19117:2005,https://www.iso.org/standard/40395.html
https://isotc211.geolexica.org/api/sources#ISO-19117-2012,ISO 19117:2012,https://www.iso.org/standard/46226.html
https://isotc211.geolexica.org/api/sources#ISO-19118-2005,ISO 19118:2005,https://www.iso.org/standard/37796.html
https://isotc211.geolexica.org/api/sources#ISO-19118-2011,ISO 19118:2011,https://www.iso.org/standard/44212.html
https://isotc211.geolexica.org/api/sources#ISO-19123-2005,ISO 19123:2005,https://www.iso.org/standard/40121.html
https://isotc211.geolexica.org/api/sources#ISO-19125-2-2004,ISO 19125-2:2004,https://www.iso.org/standard/40115.html
https://isotc211.geolexica.org/api/sources#ISO-19128-2005,ISO 19128:2005,https://www.iso.org/standard/32546.html
