p,o
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.w3.org/2000/01/rdf-schema#label,abstract test module
https://osgeo.geolexica.org/api/geolexica#hasInfo,https://osgeo.geolexica.org/api/concepts#Info5
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#ara
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#dan
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#deu
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#eng
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#fin
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#fra
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#jpn
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#kor
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#rus
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#spa
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#swe
https://osgeo.geolexica.org/api/geolexica#hasLangCode,https://osgeo.geolexica.org/api/geolexica#zho
https://osgeo.geolexica.org/api/geolexica#hasReview,https://osgeo.geolexica.org/api/concepts#Review5
http://purl.org/dc/terms/identifier,5
http://www.w3.org/2004/02/skos/core#prefLabel,abstract test module
http://www.w3.org/2004/02/skos/core#prefLabel,abstrakt testmodul
http://www.w3.org/2004/02/skos/core#prefLabel,abstrakt testmodul
http://www.w3.org/2004/02/skos/core#prefLabel,abstraktes  Prüfmodul
http://www.w3.org/2004/02/skos/core#prefLabel,abstrakti testausmoduuli
http://www.w3.org/2004/02/skos/core#prefLabel,module de test abstrait
http://www.w3.org/2004/02/skos/core#prefLabel,módulo de pruebas abstractas
http://www.w3.org/2004/02/skos/core#prefLabel,модуль  абстрактных тестов
http://www.w3.org/2004/02/skos/core#prefLabel,نموذج اختبار تجريدي
http://www.w3.org/2004/02/skos/core#prefLabel,抽象测试模块
http://www.w3.org/2004/02/skos/core#prefLabel,抽象試験モジュール
http://www.w3.org/2004/02/skos/core#prefLabel,추상 시험 모듈
http://www.w3.org/2004/02/skos/core#inScheme,https://osgeo.geolexica.org/api/geolexica#GeolexicaConceptScheme
http://www.w3.org/2004/02/skos/core#notation,5
http://www.w3.org/2004/02/skos/core#definition,conjunto de pruebas genéricas relacionadas entre sí
http://www.w3.org/2004/02/skos/core#definition,ensemble de cas de test abstraits liés
http://www.w3.org/2004/02/skos/core#definition,joukko toisiinsa liittyviä abstrakteja testitapauksia
http://www.w3.org/2004/02/skos/core#definition,samling av samhörande abstrakta testfall
http://www.w3.org/2004/02/skos/core#definition,set of related abstract test cases
http://www.w3.org/2004/02/skos/core#definition,sæt af forbundne abstrakte testforløb
http://www.w3.org/2004/02/skos/core#definition,набор взаимосвязанных абстрактных тестов
http://www.w3.org/2004/02/skos/core#definition,مجموعة حالات اختبار تجريدي مرتبطة ببعضها
http://www.w3.org/2004/02/skos/core#definition,相关抽象测试用例的集合。
http://www.w3.org/2004/02/skos/core#definition,関係する抽象試験項目の集合。
http://www.w3.org/2004/02/skos/core#definition,관련된 추상 시험 케이스의 집합
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#araRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#danRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#deuRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#engRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#finRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#fraRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#jpnRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#korRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#rusRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#spaRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#sweRegistry
https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#zhoRegistry
